epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,11015.9,1.23634,0.86962,1.23658,0.78638,0.71416,0.78357,0.45159,1.44913,0.92555,1.30148,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
57,8427.45,1.23396,0.86033,1.24041,0.7705,0.73016,0.7868,0.45099,1.44081,0.93282,1.29932,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
58,11229.7,1.22074,0.85037,1.2332,0.78167,0.7169,0.78338,0.45195,1.44878,0.92564,1.30201,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
58,8636.19,1.23269,0.84998,1.23469,0.7704,0.72915,0.78629,0.45126,1.44182,0.92867,1.2988,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
59,11438.3,1.2265,0.85052,1.23011,0.78497,0.71616,0.78395,0.4524,1.44843,0.92307,1.30194,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906
59,8844.86,1.22581,0.84676,1.22918,0.77218,0.72969,0.78695,0.4521,1.44083,0.9261,1.29855,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906
60,11647.6,1.2188,0.83607,1.22954,0.78608,0.71631,0.7836,0.45268,1.44713,0.92096,1.30196,0.0155387,0.00517958,0.0155387,0.00517958,0.0155387,0.00517958,0.0155387,0.00517958
60,9057.16,1.22322,0.84171,1.22741,0.77303,0.7284,0.78706,0.45189,1.44257,0.92062,1.29817,0.0155387,0.00517958,0.0155387,0.00517958,0.0155387,0.00517958,0.0155387,0.00517958
61,11856.2,1.21248,0.83064,1.22716,0.78809,0.71689,0.78454,0.45302,1.44443,0.92037,1.30164,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
61,9273.99,1.20669,0.82272,1.21973,0.77368,0.73203,0.7879,0.45235,1.44237,0.91819,1.29781,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,12062.9,1.20793,0.8247,1.22066,0.7884,0.71526,0.78366,0.45396,1.44491,0.91795,1.30204,0.0147613,0.00492042,0.0147613,0.00492042,0.0147613,0.00492042,0.0147613,0.00492042
62,9488.18,1.21002,0.81675,1.2188,0.77497,0.73223,0.78757,0.45222,1.4423,0.91655,1.2983,0.0147613,0.00492042,0.0147613,0.00492042,0.0147613,0.00492042,0.0147613,0.00492042
63,12269.2,1.20098,0.8154,1.21367,0.78887,0.71727,0.7842,0.45401,1.44503,0.9167,1.30263,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094
63,9711.03,1.20498,0.81869,1.21583,0.77195,0.73457,0.78763,0.45199,1.44241,0.91518,1.29813,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094
64,12469.6,1.19714,0.81168,1.21102,0.79359,0.71317,0.78385,0.45434,1.44451,0.91465,1.30293,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
64,9927.29,1.19219,0.82325,1.21117,0.77162,0.73384,0.78852,0.45251,1.44508,0.91318,1.29883,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
65,12674.5,1.19093,0.80859,1.21102,0.79332,0.71565,0.78392,0.45423,1.44326,0.91356,1.30335,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
65,10150.3,1.19247,0.81284,1.21114,0.76865,0.73846,0.78891,0.45267,1.445,0.912,1.29947,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
66,12875.3,1.18468,0.79341,1.20566,0.79,0.7179,0.78425,0.45432,1.44368,0.91218,1.30371,0.0132117,0.0044039,0.0132117,0.0044039,0.0132117,0.0044039,0.0132117,0.0044039
66,10370.3,1.17167,0.78673,1.20039,0.77018,0.73595,0.78857,0.45253,1.44571,0.91046,1.29966,0.0132117,0.0044039,0.0132117,0.0044039,0.0132117,0.0044039,0.0132117,0.0044039
67,13077.5,1.17148,0.79471,1.19885,0.7934,0.71535,0.78403,0.45388,1.44422,0.91138,1.30425,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
67,10591.7,1.17239,0.78081,1.19842,0.77206,0.73544,0.7891,0.45252,1.44724,0.90896,1.29988,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
68,13279.7,1.16598,0.78179,1.18954,0.79662,0.71534,0.78382,0.45391,1.44255,0.91011,1.30488,0.0124438,0.00414793,0.0124438,0.00414793,0.0124438,0.00414793,0.0124438,0.00414793
